Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
131199,361351.2,10214.4,519,271.1618,0.034029484,305.64673,14.207088,57.862122,0.0018295816,256.01773,316.44009,7644.0107,148516.56
196726,361351.8,10209,745,482.28943,0.018326119,337.66559,17.991106,58.084488,0.42877409,498.27423,575.07379,11474.946,254561.41
196727,361351.8,10209.6,744,487.77902,0.017362049,336.64291,19.331831,69.007164,0.44796833,515.06256,594.17725,12549.33,336578.03
196728,361351.8,10210.2,742,471.01181,0.017221661,333.03812,18.567236,55.277363,0.46716261,512.20453,586.25061,11679.716,261154.08
196729,361351.8,10210.8,674,459.87094,0.017949758,330.64197,19.455179,58.316734,0.48635688,495.39706,567.40558,10359.853,231010.92
196730,361351.8,10211.4,603,409.17624,0.01869042,325.28229,18.205294,53.968086,0.50555116,455.06323,524.50616,8434.1523,166638.59
196731,361351.8,10212,602,395.33298,0.027471134,322.80496,18.554602,54.788307,0.5247454,358.67862,425.25375,8981.4326,197460.36
196732,361351.8,10212.6,561,368.34286,0.024968669,318.65811,17.96213,55.817471,0.54393971,366.09531,430.55969,7740.4946,145235.52
196733,361351.8,10213.2,542,313.37582,0.028565096,311.89935,15.510805,56.885635,0.56313396,308.77216,371.29562,7556.0352,143137.44
196734,361351.8,10213.8,524,270.3822,0.055702157,303.96649,13.200133,44.23637,0.5823282,185.78929,246.97783,7319.0762,135354.95
196735,361351.8,10214.4,537,303.97781,0.038216092,307.78326,16.824247,58.890797,0.60152251,254.61412,316.15695,8481.2275,196644.59
196737,361351.8,10215.6,506,269.11514,0.092331827,300.43112,13.906929,45.1586,0.639911,128.42606,191.38077,7505.8423,146054.52
196739,361351.8,10216.8,534,281.52307,0.046460465,302.31543,14.243909,53.471798,0.67829955,207.59715,275.94348,8183.8647,160324.56
262261,361352.4,10208.4,827,528.70819,0.014695015,341.1662,18.565647,69.750587,1.0092727,590.8772,672.40039,13871.556,365877.72
262262,361352.4,10209,751,492.45236,0.018685564,336.5192,17.315901,57.492878,1.0284669,496.66837,575.48486,11160.609,240183.36
262263,361352.4,10209.6,759,499.82764,0.017880917,335.57172,18.833132,68.079849,1.0476613,511.42148,592.67987,12617.156,337323.25
262264,361352.4,10210.2,737,474.09665,0.023663865,331.11249,17.937588,51.776932,1.0668555,427.79913,501.75943,11208.745,246200.05
262265,361352.4,10210.8,660,447.56552,0.019324455,328.02225,18.17487,55.698227,1.0860498,466.09525,539.48529,9586.7314,201427.92
262266,361352.4,10211.4,615,413.44974,0.019696681,323.68982,17.58091,53.728077,1.105244,444.98224,513.59381,8772.668,185506.92
262267,361352.4,10212,580,386.13522,0.036967516,319.97037,17.578468,54.328205,1.1244383,295.90619,362.29681,7870.1118,153334.44
262268,361352.4,10212.6,549,341.7659,0.023728942,313.42276,16.033749,55.859402,1.1436325,360.09814,425.43195,7338.1304,136098
262269,361352.4,10213.2,518,284.11911,0.04327542,304.41025,13.120757,47.786964,1.1628269,225.10893,287.23312,6844.624,121818.6
262270,361352.4,10213.8,542,307.8822,0.045935672,306.85739,16.026106,58.0144,1.1820211,227.05188,290.21655,8182.981,185811.84
262271,361352.4,10214.4,508,284.23987,0.045883272,301.7471,14.613877,50.482853,1.2012154,217.81595,279.01028,7221.5903,140449.69
262273,361352.4,10215.6,496,267.8956,0.089919277,296.73706,13.767864,44.52272,1.2396039,131.43275,193.49124,7152.6143,135702
262274,361352.4,10216.2,511,273.45703,0.077999383,297.21658,13.74711,44.835907,1.2587982,143.99307,209.89586,7529.541,145393.92
262275,361352.4,10216.8,525,277.28336,0.044635694,297.79587,13.856786,52.891087,1.2779925,210.90694,279.39954,7925.9102,156637.08
327797,361353,10208.4,844,542.62158,0.0140099,339.75931,17.6749,69.155663,1.6089656,611.71558,697.64734,13897.625,366320.88
327798,361353,10209,766,506.55667,0.01852976,334.79208,16.577169,56.90144,1.6281599,503.92212,586.11664,11161.824,239457.59
327799,361353,10209.6,766,517.86774,0.017535718,333.93607,18.397476,67.152206,1.6473541,524.41071,609.18976,12421.345,328568.03
327800,361353,10210.2,746,488.28238,0.023519455,329.19009,17.525154,51.642879,1.6665484,434.53525,510.7717,11158.567,245204.28
327801,361353,10210.8,652,448.32205,0.020248923,325.3981,17.274115,54.932407,1.6857427,452.27426,527.4715,9025.0254,181336.69
327802,361353,10211.4,612,422.66864,0.030060267,321.76163,17.307707,53.487217,1.704937,351.61154,420.34756,8441.6943,174827.16
327803,361353,10212,574,397.42603,0.027257526,317.4545,17.311766,54.819729,1.7241312,360.98236,428.04544,7481.4521,138839.05
327804,361353,10212.6,532,309.98636,0.049593486,305.98795,13.258685,45.183086,1.7433255,217.11314,280.26181,6732.9019,115999.56
327805,361353,10213.2,525,301.59973,0.05550411,303.39389,14.246196,56.591564,1.7625197,183.72575,261.3111,7215.4316,146089.44
